Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AGS42408.1,Grablovirus,Grablovirus,Grablovirus,C1,X,X,X,X
AGS42414.1,Grablovirus,Grablovirus,Grablovirus,C1 protein,X,X,X,X
AGS46466.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS46473.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS46481.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS47835.1,Circovirus,NaN,NaN,replication-associated protein,X,,,
AGS56296.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AGS56746.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS56752.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS56758.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS56764.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS77222.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGS77229.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGS77236.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGS77243.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGS77250.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGS77269.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGT02112.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
AGT29631.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AGT42241.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AGT42246.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AGT42413.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AGT42421.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AGT42427.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AGT42498.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AGT45284.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
