Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
ACZ04189.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04192.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04195.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04204.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04222.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04225.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04228.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04240.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04243.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04246.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04249.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04255.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04261.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04264.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04273.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04276.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04279.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04282.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04288.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ACZ04291.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04294.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04302.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04304.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04309.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04312.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ACZ04327.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
ACZ06083.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ACZ56128.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ACZ56372.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ACZ59103.1,Babuvirus,Babuvirus,Babuvirus,master replication initiation protein,X,X,X,
ACZ63313.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ACZ71221.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ACZ71227.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ACZ71239.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ACZ74629.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ACZ74635.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADA67938.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ADA67941.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67944.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67945.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ADA67950.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ADA67953.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67954.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67959.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ADA67962.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ADA67965.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67968.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67971.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67974.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67977.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,X
ADA67980.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA67983.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
ADA71027.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADA71033.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADA71039.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADA79654.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ADA79660.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
ADA79664.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ADB19848.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADB28030.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,X
ADB29091.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
ADB45300.2,Begomovirus,Begomovirus,Begomovirus,replicase protein,X,X,X,
ADB45304.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADB81087.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADB85775.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADB85779.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADB92607.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADB96027.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADB96292.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96296.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96302.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
ADB96303.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96305.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96309.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96313.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96315.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96317.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96319.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADB96325.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
ADB97299.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ADB97305.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
ADC32505.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ADC32511.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ADC32517.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ADC79151.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADC79169.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ADC79175.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ADD25765.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
ADD25768.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
ADD38977.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADD62432.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
ADD62451.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62453.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62455.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62457.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62459.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62461.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62463.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62465.1,Circovirus,Circovirus,Circovirus,replication-association protein,X,X,X,
ADD62467.1,Circovirus,Circovirus,Circovirus,replication-association protein,X,X,X,X
ADD62471.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62473.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62475.1,Circovirus,Circovirus,Circovirus,replication-association protein,X,X,X,
ADD62477.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD62479.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
ADD70021.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADD73428.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADD80784.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ADD92127.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADD92133.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADD92139.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADD92145.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADD92374.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ADE09025.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09031.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09037.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09043.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09049.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09055.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09061.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09067.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,X
ADE09073.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09079.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09085.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09091.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09097.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09103.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09110.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09115.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09121.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09128.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09133.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09139.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09145.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09151.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09157.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09173.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09179.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09185.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09197.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09203.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09215.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09221.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09228.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09245.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09251.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09263.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09281.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE09287.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADE28549.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADE43441.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADE44284.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,X
ADE44286.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
ADE87486.1,Nanovirus,Nanovirus,Nanovirus,master replication initiator protein,X,X,X,X
ADE88157.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ADF28567.1,Begomovirus,Begomovirus,Begomovirus,replicase protein,X,X,X,
ADF42086.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADF42092.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADF42585.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADF42591.1,Begomovirus,Begomovirus,Begomovirus,rep,X,X,X,
ADF43040.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
ADF47168.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADF56040.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADF58297.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ADF58302.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ADF58307.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
ADF87513.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ADF97237.1,Begomovirus,Begomovirus,Begomovirus,REP protein,X,X,X,
ADG07988.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG07990.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG07992.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG07994.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG07996.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,X
ADG08000.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG08008.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG08016.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG08020.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
ADG27341.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
ADG27890.1,Circovirus,Circovirus,Circovirus,putative replication protein,X,X,X,
ADG29347.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ADG36376.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADG36378.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADG36411.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG36416.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG36425.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37229.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37235.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37241.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37247.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37253.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37259.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37265.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37271.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37283.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37289.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37295.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37301.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADG37307.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADG37313.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADH10351.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ADI48251.1,Cyclovirus,Cyclovirus,Cyclovirus,putative Rep,X,X,X,X
ADI48351.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADI56607.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADI56613.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ADI56619.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADJ19044.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADJ38376.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADJ38382.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADJ58423.1,TurnCurtovirus,TurnCurtovirus,TurnCurtovirus,Rep,X,X,X,X
ADJ58429.1,TurnCurtovirus,TurnCurtovirus,TurnCurtovirus,Rep,X,X,X,X
ADJ58435.1,TurnCurtovirus,TurnCurtovirus,TurnCurtovirus,Rep,X,X,X,X
ADJ58440.1,TurnCurtovirus,TurnCurtovirus,TurnCurtovirus,Rep,X,X,X,X
ADK34035.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADK34037.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADK34041.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADK34047.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADK55535.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADK73351.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,X
ADK73492.3,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADK78873.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADK97754.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADL32220.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADM16684.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
ADM32422.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
ADM36031.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
ADM47712.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADM47736.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADM47749.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADM47760.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADM53737.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADM62319.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADM64623.2 ,Curtovirus,Curtovirus,Curtovirus,replication initiator protein,X,X,X,X
ADN42969.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADN65588.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ADN80854.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADN80856.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADN80866.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADN80868.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
ADN84041.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADN84048.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
ADN84087.1,Curtovirus,Curtovirus,Curtovirus,replication-associated protein,X,X,X,X
ADN85598.1,Begomovirus,Begomovirus,Begomovirus,AC1 gene product,X,X,X,
ADN85607.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ADN86410.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
ADN88319.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ADN88327.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
ADN97114.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
ADO20899.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
ADO33182.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADO40465.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40471.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40477.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40483.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40489.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
ADO40495.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40501.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40508.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40515.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40522.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40529.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40535.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40542.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40549.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40555.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40562.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40569.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40576.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40583.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40590.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40597.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40604.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40611.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40618.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40625.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40639.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40646.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40653.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40660.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40674.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40681.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40688.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40695.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40701.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,X
ADO40708.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40715.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40722.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40729.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40736.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40743.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40750.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40778.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40792.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40799.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40806.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40813.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40820.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40827.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40834.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40841.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40848.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40855.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40861.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40868.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40875.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40882.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40889.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40896.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40903.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40924.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
ADO40931.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40938.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40945.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40952.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40966.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40973.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40980.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO40994.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41001.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41008.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41015.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41022.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,X
ADO41029.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41036.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41050.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41057.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41066.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41075.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41084.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
ADO41094.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADO41100.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
ADO41108.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADO41114.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
ADO85407.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,
ADO85409.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
